Sample description: DMPC_25_200
Sample: DMPC_25_200  c= 1 mg/ml  Code: DMPC_25_200_water
Parent(s): analysis/processed/subtracted/DMPC_25_200_water_0432_sub.dat
  1.295300e+00   1.065108e+02   2.053238e+00
  1.298060e+00   1.067372e+02   2.047457e+00
  1.300820e+00   1.076806e+02   2.046179e+00
  1.303580e+00   1.091072e+02   2.048902e+00
  1.306340e+00   1.008570e+02   2.015986e+00
  1.309090e+00   1.015860e+02   2.033458e+00
  1.311850e+00   1.067033e+02   2.057044e+00
  1.314610e+00   1.063314e+02   2.029036e+00
  1.317370e+00   1.091776e+02   2.038015e+00
  1.320130e+00   1.040543e+02   2.012287e+00
  1.322890e+00   1.125515e+02   2.050612e+00
  1.325650e+00   1.018796e+02   2.032560e+00
  1.328410e+00   1.068684e+02   2.006299e+00
  1.331170e+00   1.040818e+02   2.017284e+00
  1.333930e+00   1.040146e+02   2.004388e+00
  1.336690e+00   1.055177e+02   2.016087e+00
  1.339450e+00   1.033254e+02   2.001350e+00
  1.342210e+00   1.050386e+02   1.992702e+00
  1.344970e+00   1.069478e+02   2.022870e+00
  1.347720e+00   1.047365e+02   1.987030e+00
  1.350480e+00   1.060544e+02   2.007886e+00
  1.353240e+00   1.049317e+02   1.991902e+00
  1.356000e+00   9.871400e+01   1.992843e+00
  1.358760e+00   1.025862e+02   2.006506e+00
  1.361520e+00   1.028615e+02   1.976911e+00
  1.364280e+00   1.035427e+02   1.993225e+00
  1.367040e+00   1.036384e+02   1.984118e+00
  1.369800e+00   1.032162e+02   1.987053e+00
  1.372560e+00   1.031862e+02   1.985256e+00
  1.375320e+00   1.038780e+02   1.975324e+00
  1.378080e+00   1.036808e+02   1.988018e+00
  1.380840e+00   1.058801e+02   1.996429e+00
  1.383600e+00   1.008160e+02   2.014244e+00
  1.386350e+00   1.031248e+02   2.038880e+00
  1.389110e+00   1.012747e+02   2.024709e+00
  1.391870e+00   9.982096e+01   2.068809e+00
  1.394630e+00   9.778179e+01   2.037551e+00
  1.397390e+00   1.014972e+02   2.067866e+00
  1.400150e+00   1.005387e+02   2.053282e+00
  1.402910e+00   1.007826e+02   2.073931e+00
  1.405670e+00   9.792304e+01   2.098580e+00
  1.408430e+00   9.895928e+01   2.071255e+00
  1.411190e+00   1.012583e+02   2.092098e+00
  1.413950e+00   9.620439e+01   2.079916e+00
  1.416710e+00   1.005411e+02   2.121459e+00
  1.419470e+00   9.996896e+01   2.094919e+00
  1.422230e+00   9.875561e+01   2.111908e+00
  1.424980e+00   9.871809e+01   2.120006e+00
  1.427740e+00   9.932288e+01   2.106283e+00
  1.430500e+00   9.946875e+01   2.083966e+00
  1.433260e+00   1.001211e+02   2.062654e+00
  1.436020e+00   9.960845e+01   2.046100e+00
  1.438780e+00   9.934559e+01   2.047015e+00
  1.441540e+00   9.685357e+01   2.007773e+00
  1.444300e+00   9.887949e+01   2.029092e+00
  1.447060e+00   9.828437e+01   2.000792e+00
  1.449820e+00   9.881610e+01   2.022512e+00
