No  scale pct2_054.dat pct2_054.dat                                             
  0.110448E+01  0.881289E+03  0.606700E+01
  0.110667E+01  0.875406E+03  0.606328E+01
  0.110886E+01  0.872375E+03  0.602260E+01
  0.111105E+01  0.866611E+03  0.605884E+01
  0.111324E+01  0.862519E+03  0.602440E+01
  0.111543E+01  0.859494E+03  0.604684E+01
  0.111762E+01  0.853661E+03  0.598960E+01
  0.111981E+01  0.849456E+03  0.600172E+01
  0.112200E+01  0.846567E+03  0.601952E+01
  0.112419E+01  0.845164E+03  0.597448E+01
  0.112638E+01  0.838267E+03  0.599452E+01
  0.112857E+01  0.834906E+03  0.595628E+01
  0.113076E+01  0.835031E+03  0.595016E+01
  0.113295E+01  0.828664E+03  0.597840E+01
  0.113514E+01  0.824211E+03  0.591372E+01
  0.113733E+01  0.822872E+03  0.595316E+01
  0.113952E+01  0.817919E+03  0.589756E+01
  0.114171E+01  0.812469E+03  0.591688E+01
  0.114390E+01  0.806578E+03  0.591280E+01
  0.114609E+01  0.807850E+03  0.587288E+01
  0.114828E+01  0.802817E+03  0.591272E+01
  0.115048E+01  0.802492E+03  0.586172E+01
  0.115267E+01  0.795264E+03  0.589012E+01
  0.115486E+01  0.793261E+03  0.585692E+01
  0.115705E+01  0.788614E+03  0.582460E+01
  0.115924E+01  0.783589E+03  0.586096E+01
  0.116143E+01  0.782481E+03  0.582824E+01
  0.116362E+01  0.776319E+03  0.584500E+01
  0.116581E+01  0.774611E+03  0.582184E+01
  0.116800E+01  0.772794E+03  0.579848E+01
  0.117019E+01  0.769392E+03  0.582216E+01
  0.117238E+01  0.766006E+03  0.577092E+01
  0.117457E+01  0.757972E+03  0.581720E+01
  0.117676E+01  0.756725E+03  0.575168E+01
  0.117895E+01  0.751961E+03  0.576576E+01
  0.118114E+01  0.748575E+03  0.575428E+01
  0.118333E+01  0.745617E+03  0.572476E+01
  0.118552E+01  0.746314E+03  0.576600E+01
  0.118771E+01  0.739133E+03  0.572820E+01
  0.118990E+01  0.738147E+03  0.573124E+01
  0.119209E+01  0.732836E+03  0.570444E+01
  0.119428E+01  0.730483E+03  0.571372E+01
  0.119647E+01  0.726483E+03  0.570436E+01
  0.119866E+01  0.721081E+03  0.567588E+01
  0.120085E+01  0.716331E+03  0.569632E+01
  0.120305E+01  0.709903E+03  0.565332E+01
  0.120524E+01  0.710128E+03  0.566704E+01
  0.120743E+01  0.706619E+03  0.567912E+01
  0.120962E+01  0.706936E+03  0.563096E+01
  0.121181E+01  0.703269E+03  0.563964E+01
  0.121400E+01  0.700067E+03  0.562188E+01
  0.121619E+01  0.697211E+03  0.564248E+01
  0.121838E+01  0.698950E+03  0.562868E+01
  0.122057E+01  0.692569E+03  0.559976E+01
  0.122276E+01  0.687531E+03  0.559900E+01
  0.122495E+01  0.683394E+03  0.557496E+01
  0.122714E+01  0.679833E+03  0.560804E+01
  0.122933E+01  0.677242E+03  0.556032E+01
  0.123152E+01  0.674175E+03  0.556960E+01
  0.123371E+01  0.671139E+03  0.558368E+01
  0.123590E+01  0.665475E+03  0.553792E+01
  0.123809E+01  0.662836E+03  0.556932E+01
  0.124028E+01  0.663178E+03  0.553884E+01
  0.124247E+01  0.659975E+03  0.553640E+01
  0.124466E+01  0.657083E+03  0.553036E+01
  0.124685E+01  0.656631E+03  0.550696E+01
  0.124904E+01  0.651617E+03  0.552464E+01
  0.125123E+01  0.649367E+03  0.547396E+01
  0.125342E+01  0.646081E+03  0.551688E+01
  0.125561E+01  0.642844E+03  0.548888E+01
  0.125781E+01  0.636489E+03  0.548160E+01
  0.126000E+01  0.635067E+03  0.548848E+01
  0.126219E+01  0.629572E+03  0.545220E+01
  0.126438E+01  0.626911E+03  0.546880E+01
  0.126657E+01  0.624297E+03  0.541424E+01
  0.126876E+01  0.619319E+03  0.546616E+01
  0.127095E+01  0.618831E+03  0.544536E+01
  0.127314E+01  0.618364E+03  0.542024E+01
  0.127533E+01  0.613181E+03  0.544072E+01
  0.127752E+01  0.611872E+03  0.539236E+01
  0.127971E+01  0.609086E+03  0.542840E+01
  0.128190E+01  0.607856E+03  0.541460E+01
  0.128409E+01  0.604964E+03  0.538008E+01
  0.128628E+01  0.602303E+03  0.540080E+01
  0.128847E+01  0.595581E+03  0.536504E+01
  0.129066E+01  0.593925E+03  0.540400E+01
  0.129285E+01  0.592453E+03  0.535560E+01
  0.129504E+01  0.589708E+03  0.535904E+01
  0.129723E+01  0.583503E+03  0.536676E+01
  0.129942E+01  0.580072E+03  0.534664E+01
  0.130161E+01  0.579008E+03  0.534784E+01
  0.130380E+01  0.576825E+03  0.530800E+01
  0.130599E+01  0.575836E+03  0.533808E+01
  0.130818E+01  0.569975E+03  0.533336E+01
