Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
  1.408110e+00   2.315283e+02   1.092467e+01
  1.410870e+00   2.204023e+02   1.104899e+01
  1.413630e+00   2.408392e+02   1.099680e+01
  1.416400e+00   2.566005e+02   1.110383e+01
  1.419160e+00   2.445552e+02   1.119764e+01
  1.421930e+00   2.679866e+02   1.113955e+01
  1.424690e+00   2.440377e+02   1.124423e+01
  1.427450e+00   2.404725e+02   1.111455e+01
  1.430220e+00   2.244182e+02   1.124458e+01
  1.432980e+00   2.432441e+02   1.126301e+01
  1.435750e+00   2.647852e+02   1.127790e+01
  1.438510e+00   2.504856e+02   1.134997e+01
  1.441280e+00   2.539306e+02   1.130897e+01
  1.444040e+00   2.544293e+02   1.139672e+01
  1.446800e+00   2.398650e+02   1.131414e+01
  1.449570e+00   2.595043e+02   1.136971e+01
  1.452330e+00   2.448151e+02   1.124033e+01
  1.455100e+00   2.335382e+02   1.104770e+01
  1.457860e+00   2.641455e+02   1.102663e+01
  1.460630e+00   2.507238e+02   1.081171e+01
  1.463390e+00   2.397196e+02   1.085953e+01
  1.466150e+00   2.450639e+02   1.080548e+01
  1.468920e+00   2.542508e+02   1.076013e+01
  1.471680e+00   2.521995e+02   1.070852e+01
  1.474450e+00   2.428450e+02   1.063859e+01
  1.477210e+00   2.642029e+02   1.069577e+01
  1.479980e+00   2.555081e+02   1.063160e+01
  1.482740e+00   2.585941e+02   1.062321e+01
  1.485500e+00   2.765181e+02   1.060783e+01
  1.488270e+00   2.534242e+02   1.057114e+01
  1.491030e+00   2.517933e+02   1.058431e+01
  1.493800e+00   2.504711e+02   1.047617e+01
  1.496560e+00   2.613524e+02   1.050387e+01
  1.499320e+00   2.510729e+02   1.050378e+01
  1.502090e+00   2.544419e+02   1.043578e+01
  1.504850e+00   2.459868e+02   1.050073e+01
  1.507620e+00   2.335251e+02   1.037766e+01
  1.510380e+00   2.346984e+02   1.044944e+01
  1.513150e+00   2.566280e+02   1.040037e+01
  1.515910e+00   2.512630e+02   1.038481e+01
  1.518670e+00   2.437347e+02   1.039279e+01
  1.521440e+00   2.282947e+02   1.036149e+01
  1.524200e+00   2.332634e+02   1.038869e+01
  1.526970e+00   2.461894e+02   1.036963e+01
  1.529730e+00   2.282135e+02   1.033381e+01
  1.532500e+00   2.379499e+02   1.031464e+01
  1.535260e+00   2.627068e+02   1.029250e+01
  1.538020e+00   2.224992e+02   1.037861e+01
  1.540790e+00   2.321612e+02   1.023805e+01
  1.543550e+00   2.379256e+02   1.029715e+01
  1.546320e+00   2.318736e+02   1.026025e+01
